algorithm,optimisation_method,dcmst,constellation,alpha,beta,gamma,mean_latency,average_hop_count,link_churn
PlusGrid,nan,nan,Kuiper-630,nan,nan,nan,0.06258187427101432,17.014718614718575,0
PlusGrid,nan,nan,Starlink-550,nan,nan,nan,0.09323945667728285,23.51484523057484,0
PlusGrid,nan,nan,Telesat-1015,nan,nan,nan,0.07976903375422309,10.0,0
MDTD,nan,nan,Kuiper-630,nan,nan,nan,0.059507479040031286,15.362501075186152,7521
MDTD,nan,nan,Starlink-550,nan,nan,nan,0.07446090055687103,18.281538980738826,18553
MDTD,nan,nan,Telesat-1015,nan,nan,nan,0.08677063043730385,7.82825218520456,5252
Novel,Evolutionary,ACO,Kuiper-630,0.27989344712352304,0.4902202669820183,0.4656955710813942,0.04453853237492052,12.74765555375908,168789
Novel,Evolutionary,ACO,Kuiper-630,0.16704831910618684,0.21595779990302091,0.602039304669439,0.0450345788593986,12.378307940409748,138982
Novel,Evolutionary,ACO,Kuiper-630,0.5420033106809024,0.11960701988073763,0.03732878185646053,0.04750256049500611,13.494674921625302,105353
Novel,Evolutionary,ACO,Starlink-550,0.290430084070176,0.9384586750376207,0.4747625373057114,0.04343207000372003,16.219826263264356,220667
Novel,Evolutionary,ACO,Starlink-550,0.7657997937462004,0.014836135537128833,0.9647446782700524,0.04560147549874452,14.987417118826365,146114
Novel,Evolutionary,ACO,Starlink-550,0.966922709089135,0.11719034869788134,0.0213097481920531,0.04519255096588481,16.59751147326426,113438
Novel,Evolutionary,ACO,Telesat-1015,0.4360063103164115,0.35815325483738686,0.08337116367410646,0.047873823941240005,7.324659495707118,36786
Novel,Evolutionary,ACO,Telesat-1015,0.43533472621442804,0.30779943195833465,0.19589009105300875,0.05089786223756444,7.025193402717215,38119
Novel,Evolutionary,ACO,Telesat-1015,0.561554077621407,0.21980159272148972,0.005339287680775292,0.05244582732606484,8.724820900439948,14421
Novel,Evolutionary,GA,Kuiper-630,0.09143151610398181,0.9677084532145792,0.1530608075600983,0.05979246979348655,5.9059301475703565,373980
Novel,Evolutionary,GA,Kuiper-630,0.20223524647035834,0.31364422367839256,0.5298459572514344,0.0702905940117254,5.870658730441843,365555
Novel,Evolutionary,GA,Kuiper-630,0.6811022367718556,0.13110626915325865,0.0019053076235577109,0.0606784647184768,5.889125277984836,346417
